sample_id,image,bleu,rouge_l,bertscore_f1,reference_len,candidate_len,length_ratio,empty_output,repeated_sentence_flag,radgraph_simple,radgraph_partial,radgraph_complete
ctchat_valid_0001,valid_1_a_1.nii.gz,0.6494,0.7299,0.9539,170,165,0.9706,0,0,0.6897,0.6207,0.5905
ctchat_valid_0002,valid_1_a_2.nii.gz,0.1208,0.2919,0.8713,170,190,1.1176,0,0,0.2278,0.1975,0.1031
ctchat_valid_0003,valid_2_a_1.nii.gz,0.1357,0.2869,0.8668,269,198,0.7361,0,0,0.2037,0.1802,0.127
ctchat_valid_0004,valid_2_a_2.nii.gz,0.1357,0.2869,0.8668,269,198,0.7361,0,0,0.2037,0.1802,0.127
ctchat_valid_0005,valid_3_a_1.nii.gz,0.1279,0.2626,0.8589,286,195,0.6818,0,0,0.1277,0.125,0.0901
ctchat_valid_0006,valid_3_a_2.nii.gz,0.1103,0.305,0.8601,286,204,0.7133,0,0,0.2353,0.1923,0.1311
ctchat_valid_0007,valid_4_a_1.nii.gz,0.0855,0.2259,0.8534,165,195,1.1818,0,0,0.129,0.127,0.0571
ctchat_valid_0008,valid_4_a_2.nii.gz,0.0848,0.2228,0.8514,165,191,1.1576,0,0,0.1379,0.1379,0.0615
ctchat_valid_0009,valid_4_b_1.nii.gz,0.0611,0.212,0.8512,234,195,0.8333,0,0,0.0842,0.101,0.036
ctchat_valid_0010,valid_4_b_2.nii.gz,0.0613,0.2105,0.8518,234,198,0.8462,0,0,0.0619,0.06,0.0177
ctchat_valid_0011,valid_5_a_1.nii.gz,0.0716,0.2959,0.8664,135,198,1.4667,0,0,0.1644,0.137,0.125
ctchat_valid_0012,valid_5_a_2.nii.gz,0.0716,0.2959,0.8664,135,198,1.4667,0,0,0.1644,0.137,0.125
ctchat_valid_0013,valid_6_a_1.nii.gz,0.5446,0.6899,0.935,147,195,1.3265,0,0,0.5217,0.4789,0.425
ctchat_valid_0014,valid_6_a_2.nii.gz,0.1149,0.3003,0.8803,147,138,0.9388,0,0,0.1972,0.1389,0.069
ctchat_valid_0015,valid_7_a_1.nii.gz,0.0274,0.1928,0.8463,408,191,0.4681,0,0,0.0576,0.0559,0.0335
ctchat_valid_0016,valid_7_a_2.nii.gz,0.0298,0.1971,0.8476,408,198,0.4853,0,0,0.0857,0.0694,0.044
ctchat_valid_0017,valid_7_b_1.nii.gz,0.1092,0.2695,0.8604,221,195,0.8824,0,0,0.1395,0.1379,0.0792
ctchat_valid_0018,valid_7_b_2.nii.gz,0.1146,0.287,0.8668,221,203,0.9186,0,0,0.2708,0.268,0.1043
ctchat_valid_0019,valid_8_a_1.nii.gz,0.1028,0.2742,0.8629,295,195,0.661,0,0,0.1481,0.1071,0.0492
ctchat_valid_0020,valid_8_a_2.nii.gz,0.1028,0.2742,0.8629,295,195,0.661,0,0,0.1481,0.1071,0.0492
ctchat_valid_0021,valid_9_a_1.nii.gz,0.0881,0.2693,0.8606,298,195,0.6544,0,0,0.1176,0.1165,0.0678
ctchat_valid_0022,valid_9_a_2.nii.gz,0.2179,0.5077,0.9002,298,138,0.4631,0,0,0.4902,0.4706,0.4553
ctchat_valid_0023,valid_10_a_1.nii.gz,0.0483,0.2282,0.852,317,195,0.6151,0,0,0.1008,0.065,0.0294
ctchat_valid_0024,valid_10_a_2.nii.gz,0.0473,0.2423,0.8534,317,198,0.6246,0,0,0.084,0.0492,0.0294
ctchat_valid_0025,valid_11_a_1.nii.gz,0.0433,0.1468,0.8521,18,198,11.0,0,0,0.0952,0.0952,0.0417
ctchat_valid_0026,valid_11_a_2.nii.gz,0.042,0.1422,0.8535,18,204,11.3333,0,0,0.12,0.1176,0.0678
ctchat_valid_0027,valid_12_a_1.nii.gz,0.0861,0.2537,0.857,343,191,0.5569,0,0,0.1905,0.1607,0.08
ctchat_valid_0028,valid_12_a_2.nii.gz,0.0868,0.245,0.8549,343,202,0.5889,0,0,0.1593,0.15,0.0451
ctchat_valid_0029,valid_13_a_1.nii.gz,0.2104,0.3628,0.8881,221,203,0.9186,0,0,0.3133,0.2588,0.202
ctchat_valid_0030,valid_13_a_2.nii.gz,0.2104,0.3628,0.8881,221,203,0.9186,0,0,0.3133,0.2588,0.202
ctchat_valid_0031,valid_14_a_1.nii.gz,0.4864,0.5634,0.9124,201,217,1.0796,0,0,0.4719,0.3736,0.3469
ctchat_valid_0032,valid_14_a_2.nii.gz,0.4633,0.5665,0.9139,201,198,0.9851,0,0,0.2963,0.2195,0.1538
ctchat_valid_0033,valid_15_a_1.nii.gz,0.0922,0.2655,0.8629,138,192,1.3913,0,0,0.1081,0.1053,0.0444
ctchat_valid_0034,valid_15_a_2.nii.gz,0.1145,0.2959,0.8783,138,190,1.3768,0,0,0.2532,0.225,0.1616
ctchat_valid_0035,valid_16_a_1.nii.gz,0.1723,0.3549,0.8723,203,204,1.0049,0,0,0.2667,0.2391,0.0935
ctchat_valid_0036,valid_16_a_2.nii.gz,0.1723,0.3549,0.8723,203,204,1.0049,0,0,0.2667,0.2391,0.0935
ctchat_valid_0037,valid_17_a_1.nii.gz,0.0966,0.2318,0.8545,274,222,0.8102,0,0,0.1565,0.1186,0.0902
ctchat_valid_0038,valid_17_a_2.nii.gz,0.272,0.5455,0.9141,274,138,0.5036,0,0,0.3652,0.359,0.3188
ctchat_valid_0039,valid_18_a_1.nii.gz,0.0631,0.2717,0.8678,245,117,0.4776,0,0,0.1628,0.1348,0.0917
ctchat_valid_0040,valid_18_a_2.nii.gz,0.096,0.2893,0.856,245,148,0.6041,0,0,0.1429,0.1386,0.0968
ctchat_valid_0041,valid_19_a_1.nii.gz,0.1644,0.3575,0.8766,241,195,0.8091,0,0,0.2366,0.2128,0.1176
ctchat_valid_0042,valid_20_a_1.nii.gz,0.0934,0.2895,0.8656,137,226,1.6496,0,0,0.1429,0.0833,0.0471
ctchat_valid_0043,valid_20_a_2.nii.gz,0.0847,0.2815,0.8601,137,195,1.4234,0,0,0.0845,0.0822,0.023
ctchat_valid_0044,valid_20_b_1.nii.gz,0.0722,0.2756,0.8637,84,195,2.3214,0,0,0.0984,0.0645,0.0563
ctchat_valid_0045,valid_20_b_2.nii.gz,0.0844,0.3014,0.8686,84,203,2.4167,0,0,0.0845,0.0833,0.0706
ctchat_valid_0046,valid_21_a_1.nii.gz,0.5135,0.5224,0.9223,201,198,0.9851,0,0,0.3846,0.3846,0.3516
ctchat_valid_0047,valid_21_a_2.nii.gz,0.5301,0.5464,0.928,201,195,0.9701,0,0,0.4324,0.4324,0.3953
ctchat_valid_0048,valid_22_a_1.nii.gz,0.0714,0.2218,0.8517,319,195,0.6113,0,0,0.1101,0.1239,0.0775
ctchat_valid_0049,valid_22_a_2.nii.gz,0.0709,0.2158,0.8557,319,191,0.5987,0,0,0.1333,0.1296,0.0806
ctchat_valid_0050,valid_23_a_1.nii.gz,0.154,0.3032,0.8683,202,198,0.9802,0,0,0.1687,0.1667,0.0816
ctchat_valid_0051,valid_23_a_2.nii.gz,0.154,0.3032,0.8683,202,198,0.9802,0,0,0.1687,0.1667,0.0816
ctchat_valid_0052,valid_24_a_1.nii.gz,0.4911,0.5612,0.9106,241,204,0.8465,0,0,0.3291,0.2785,0.092
ctchat_valid_0053,valid_24_a_2.nii.gz,0.4533,0.55,0.9065,241,195,0.8091,0,0,0.3421,0.3117,0.1412
ctchat_valid_0054,valid_25_a_1.nii.gz,0.0992,0.2584,0.8565,212,198,0.934,0,0,0.0962,0.0748,0.0328
ctchat_valid_0055,valid_25_a_2.nii.gz,0.0992,0.2584,0.8565,212,198,0.934,0,0,0.0962,0.0748,0.0328
ctchat_valid_0056,valid_26_a_1.nii.gz,0.1168,0.3423,0.8723,296,138,0.4662,0,0,0.1961,0.1682,0.1301
ctchat_valid_0057,valid_26_a_2.nii.gz,0.0792,0.2083,0.8525,296,226,0.7635,0,0,0.0606,0.0571,0.0351
ctchat_valid_0058,valid_27_a_1.nii.gz,0.0633,0.2372,0.8462,276,204,0.7391,0,0,0.0855,0.0847,0.0301
ctchat_valid_0059,valid_27_a_2.nii.gz,0.0592,0.2381,0.8518,276,218,0.7899,0,0,0.144,0.127,0.0719
ctchat_valid_0060,valid_27_b_1.nii.gz,0.0603,0.1951,0.8318,154,211,1.3701,0,0,0.0625,0.0615,0.0588
ctchat_valid_0061,valid_27_b_2.nii.gz,0.0479,0.1751,0.8302,154,218,1.4156,0,0,0.0548,0.0548,0.0513
ctchat_valid_0062,valid_28_a_1.nii.gz,0.0874,0.2257,0.8573,306,203,0.6634,0,0,0.1157,0.096,0.0845
ctchat_valid_0063,valid_28_a_2.nii.gz,0.0808,0.2213,0.8576,306,195,0.6373,0,0,0.1333,0.128,0.0851
ctchat_valid_0064,valid_29_a_1.nii.gz,0.0689,0.2575,0.856,296,195,0.6588,0,0,0.1212,0.1188,0.0877
ctchat_valid_0065,valid_29_a_2.nii.gz,0.0413,0.2472,0.8617,296,138,0.4662,0,0,0.1782,0.1373,0.0826
ctchat_valid_0066,valid_30_a_1.nii.gz,0.1869,0.3455,0.8765,178,195,1.0955,0,0,0.2469,0.2381,0.1414
ctchat_valid_0067,valid_31_a_1.nii.gz,0.4184,0.5278,0.9106,237,191,0.8059,0,0,0.3636,0.2921,0.2718
ctchat_valid_0068,valid_31_a_2.nii.gz,0.6022,0.7454,0.9431,237,190,0.8017,0,0,0.617,0.4375,0.4138
ctchat_valid_0069,valid_32_a_1.nii.gz,0.0692,0.2819,0.8605,100,195,1.95,0,0,0.0896,0.0882,0.0526
ctchat_valid_0070,valid_33_a_1.nii.gz,0.0735,0.2185,0.8438,267,198,0.7416,0,0,0.0635,0.0458,0.0132
ctchat_valid_0071,valid_33_a_2.nii.gz,0.0887,0.2236,0.8516,267,222,0.8315,0,0,0.1111,0.0909,0.0395
ctchat_valid_0072,valid_34_a_1.nii.gz,0.137,0.2785,0.8635,192,192,1.0,0,0,0.1446,0.1412,0.0606
ctchat_valid_0073,valid_34_a_2.nii.gz,0.1265,0.2778,0.8649,192,193,1.0052,0,0,0.1235,0.122,0.0632
