sample_id,image,radgraph_simple,radgraph_partial,radgraph_complete
ctchat_valid_0001,valid_1_a_1.nii.gz,0.6897,0.6207,0.5905
ctchat_valid_0002,valid_1_a_2.nii.gz,0.2278,0.1975,0.1031
ctchat_valid_0003,valid_2_a_1.nii.gz,0.2037,0.1802,0.127
ctchat_valid_0004,valid_2_a_2.nii.gz,0.2037,0.1802,0.127
ctchat_valid_0005,valid_3_a_1.nii.gz,0.1277,0.125,0.0901
ctchat_valid_0006,valid_3_a_2.nii.gz,0.2353,0.1923,0.1311
ctchat_valid_0007,valid_4_a_1.nii.gz,0.129,0.127,0.0571
ctchat_valid_0008,valid_4_a_2.nii.gz,0.1379,0.1379,0.0615
ctchat_valid_0009,valid_4_b_1.nii.gz,0.0842,0.101,0.036
ctchat_valid_0010,valid_4_b_2.nii.gz,0.0619,0.06,0.0177
ctchat_valid_0011,valid_5_a_1.nii.gz,0.1644,0.137,0.125
ctchat_valid_0012,valid_5_a_2.nii.gz,0.1644,0.137,0.125
ctchat_valid_0013,valid_6_a_1.nii.gz,0.5217,0.4789,0.425
ctchat_valid_0014,valid_6_a_2.nii.gz,0.1972,0.1389,0.069
ctchat_valid_0015,valid_7_a_1.nii.gz,0.0576,0.0559,0.0335
ctchat_valid_0016,valid_7_a_2.nii.gz,0.0857,0.0694,0.044
ctchat_valid_0017,valid_7_b_1.nii.gz,0.1395,0.1379,0.0792
ctchat_valid_0018,valid_7_b_2.nii.gz,0.2708,0.268,0.1043
ctchat_valid_0019,valid_8_a_1.nii.gz,0.1481,0.1071,0.0492
ctchat_valid_0020,valid_8_a_2.nii.gz,0.1481,0.1071,0.0492
ctchat_valid_0021,valid_9_a_1.nii.gz,0.1176,0.1165,0.0678
ctchat_valid_0022,valid_9_a_2.nii.gz,0.4902,0.4706,0.4553
ctchat_valid_0023,valid_10_a_1.nii.gz,0.1008,0.065,0.0294
ctchat_valid_0024,valid_10_a_2.nii.gz,0.084,0.0492,0.0294
ctchat_valid_0025,valid_11_a_1.nii.gz,0.0952,0.0952,0.0417
ctchat_valid_0026,valid_11_a_2.nii.gz,0.12,0.1176,0.0678
ctchat_valid_0027,valid_12_a_1.nii.gz,0.1905,0.1607,0.08
ctchat_valid_0028,valid_12_a_2.nii.gz,0.1593,0.15,0.0451
ctchat_valid_0029,valid_13_a_1.nii.gz,0.3133,0.2588,0.202
ctchat_valid_0030,valid_13_a_2.nii.gz,0.3133,0.2588,0.202
ctchat_valid_0031,valid_14_a_1.nii.gz,0.4719,0.3736,0.3469
ctchat_valid_0032,valid_14_a_2.nii.gz,0.2963,0.2195,0.1538
ctchat_valid_0033,valid_15_a_1.nii.gz,0.1081,0.1053,0.0444
ctchat_valid_0034,valid_15_a_2.nii.gz,0.2532,0.225,0.1616
ctchat_valid_0035,valid_16_a_1.nii.gz,0.2667,0.2391,0.0935
ctchat_valid_0036,valid_16_a_2.nii.gz,0.2667,0.2391,0.0935
ctchat_valid_0037,valid_17_a_1.nii.gz,0.1565,0.1186,0.0902
